BOM_VARNAME,VARNAME,STANDARD_NAME,LONG_NAME,UNITS,COMMENT,VALID_MIN,VALID_MAX,REFERENCE_DATUM,POSITIVE,ANCILLARY_VARIABLES
Hrms,HRMS,,root mean square height of waves on the water body,m,root mean square wave height from the time domain,,,,,
Tc,TCREST,,average crest period of waves on the water body,s,the crest period,0,50,,,
Tz,WPMH,sea_surface_wave_zero_upcrossing_period,,s,the zero crossing period from the time domain,0,50,,,
Hs,WHTH,sea_surface_wave_significant_height,significant height of waves on the water body,m,sig wave height from the time domain,0,100,,,
Hmax,WMXH,sea_surface_wave_maximum_height,maximum height of waves on the water body,m,maximum wave height in the record - zero upcrossing analysis ,0,100,,,
Tp,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,,s,Period at the peak spectral energy,0,50,,,
Ts,WPTH,sea_surface_wave_significant_period,,s,period of the significant wave,0,50,,,
EPS,EPS_TD,,Spectral width from the time domain,1,spectral width from the time domain,,,,,
T02,T02,,The period from spectral moments 0 and 2,s,the period from spectral moments 0 and 2 (=sqrt(m0/m2),0,50,,,
Hrms fd,HRMS_FD,,Root mean square wave height calculated from the spectra,m,root mean square wave height calculated from the spectra(=sqrt(8*m0)),0,100,,,
EPS fd,EPS_FD,,Spectral width calculated from the spectral moment,1,spectral width calculated from the spectral moment(=sqrt(m0*m4-m2*m2)/(m0*m4)),0,100,,,
THmax,WPMXH,sea_surface_wave_period_of_highest_wave,seriod of the maximum wave,s,period corresponding to the wave with maximum height in the record,0,50,,,
Hm0 (m),HM0,,significant wave height from the frequency domain,m,,,,,,
Hm0 fd,HM0,,significant wave height from the frequency domain,m,,,,,,
